"stamp","created_at","reason","residency","language"
"6374","2015-06-06T08:12:53.000","Empleo","PR.GL, PR","spanish"
"6373","2015-06-06T08:05:31.000","Empleo","PR.CV, PR","spanish"
"6372","2015-06-06T08:03:09.000","Otros...","PR.CT, PR","spanish"
"6371","2015-06-06T08:01:48.000","Empleo","PR.JC, PR","spanish"
"6370","2015-06-06T07:59:36.000","Empleo","PR.SJ, PR","spanish"
"6369","2015-06-06T07:58:42.000","Empleo","PR.BQ, PR","spanish"
"6368","2015-06-06T07:57:02.000","Vivienda","PR.MT, PR","spanish"
"6367","2015-06-06T07:56:17.000","Empleo","PR.BY, PR","spanish"
"6366","2015-06-06T07:56:17.000","Empleo","PR.CV, PR","spanish"
"6365","2015-06-06T07:53:55.000","Estudios","PR.TJ, PR","spanish"
"6364","2015-06-06T07:52:44.000","Empleo","PR.GB, PR","spanish"
"6363","2015-06-06T07:52:31.000","Empleo","PR.SJ, PR","spanish"
"6362","2015-06-06T07:51:54.000","Otros...","PR.BY, PR","spanish"
"6361","2015-06-06T07:49:46.000","Empleo","PR.SJ, PR","spanish"
"6360","2015-06-06T07:49:05.000","Empleo","PR.GB, PR","spanish"
"6359","2015-06-06T07:47:41.000","Vivienda","PR.IS, PR","spanish"
"6358","2015-06-06T07:47:21.000","Empleo","PR.PO, PR","spanish"
"6357","2015-06-06T07:47:17.000","Empleo","PR.SJ, PR","spanish"
"6356","2015-06-06T07:44:00.000","Empleo","PR.MV, PR","spanish"
"6355","2015-06-06T07:40:27.000","Empleo","PR.SJ, PR","spanish"
"6354","2015-06-06T07:27:05.000","Empleo","PR.CG, PR","spanish"
"6353","2015-06-06T07:22:03.000","Vivienda","PR.CG, PR","spanish"
"6352","2015-06-06T07:09:49.000","Empleo","PR.SL, PR","spanish"
"6351","2015-06-06T06:51:51.000","Empleo","PR.UT, PR","spanish"
"6350","2015-06-06T06:43:54.000","Estudios","PR.CV, PR","spanish"
"6349","2015-06-06T06:09:39.000","Vivienda","PR.SJ, PR","spanish"
"6348","2015-06-06T05:33:20.000","Empleo","PR.RG, PR","spanish"
"6347","2015-06-06T05:13:54.000","Vivienda","PR.AL, PR","spanish"
"6346","2015-06-06T04:42:11.000","Empleo","PR.MV, PR","spanish"
"6345","2015-06-06T04:40:13.000","Empleo","PR.SJ, PR","spanish"
"6344","2015-06-06T04:27:02.000","Vivienda","PR.PO, PR","spanish"
"6343","2015-06-06T03:12:00.000","Empleo","PR.MT, PR","spanish"
"6342","2015-06-06T03:07:04.000","Pasaporte o Visa","PR.CA, PR","spanish"
"6341","2015-06-06T03:03:37.000","Empleo","PR.MT, PR","spanish"
"6340","2015-06-06T03:01:09.000","Empleo","PR.PO, PR","spanish"
"6339","2015-06-06T02:36:49.000","Vivienda","PR.CA, PR","spanish"
"6338","2015-06-06T02:10:38.000","Empleo","PR.TJ, PR","spanish"
"6337","2015-06-06T02:09:05.000","Empleo","PR.RG, PR","spanish"
"6336","2015-06-06T02:07:00.000","Empleo","PR.LQ, PR","spanish"
"6335","2015-06-06T02:03:59.000","Empleo","PR.BY, PR","spanish"
"6334","2015-06-06T02:00:25.000","Empleo","PR.RG, PR","spanish"
"6333","2015-06-06T01:29:03.000","Empleo","PR.PO, PR","spanish"
"6332","2015-06-06T01:13:59.000","Vivienda","PR.HU, PR","spanish"
"6331","2015-06-06T01:11:49.000","Empleo","PR.SL, PR","spanish"
"5518","2015-06-05T12:59:24.000","Empleo","PR.CG, PR","spanish"
