"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"8841","ESCUELA   JUAN PONCE DE LEÓN  ","  FLORIDA  ","  ARECIBO  ","Box 366 Florida, P.R. 00650  Carr. 631 Km. 0.5, Bo. Ceiba, Florida","18.3581648774","-66.5678636349","(18.358165, -66.567864)"
"8381","ESCUELA EL MANGÓ","JUNCOS","HUMACAO","Carr. 31 Km. 20.8, Bo. El Mangó, Juncos, PR","18.2350981092","-65.88020844","(18.235098, -65.880208)"
"8137","ESCUELA BONNEVILLE","CAGUAS","CAGUAS","Calle 33, Urb. Bonneville HeightsValley, , Caguas, P.R.  00726","18.2296363871","-66.0476795803","(18.229636, -66.04768)"
"2300","CENTRO GUBERNAMENTAL","GUAYNABO","ADMINISTRADOR&FA","CARRETETRA NÚM. 20 CALLE PARQUE DE LOS NIÑOS, GUAYNABO, P.R.","18.3618092658","-66.1120674889","(18.361809, -66.112067)"
"8065","ESCUELA LUIS MUÑOZ MARÍN","AÑASCO","MAYAGUEZ","Carretera 402, Zona Industrial,  Añasco, P.R.","18.2941528765","-67.1395992935","(18.294153, -67.139599)"
"8491","ESCUELA CATALINA MORALES DE FLORES","MOCA","AGUADILLA","Carr.  110, Km. 11.6, Calle Concepción Vera, Moca, P. R.  00676","18.3855021448","-67.1107942387","(18.385502, -67.110794)"
"8969","ESCUELA LLANOS DEL SUR","PONCE","PONCE","Calle 3  Parcelas Llanos del Sur Apt. 839 Coto Laurel, Ponce, PR 00780","18.0464649537","-66.5500358521","(18.046465, -66.550036)"
"8971","ESCUELA VILLA DEL CARMEN ","PONCE","PONCE","Ave. Constancia Urb. Villa del Carmen PO Box 30067, Ponce, PR  00734-0066","17.977646784","-66.604269228","(17.977647, -66.604269)"
"8057","ESCUELA LLANOS ADENTROS","AIBONITO","CAGUAS","Carr. 725 Km. 2, Hm. 4  Bo. Llano Adentro, Aibonito, P.R.  00705","18.1594133332","-66.2921740019","(18.159413, -66.292174)"
"3114","CUARTEL PRECINTO DE BAYAMÓN","BAYAMÓN","BAYAMÓN","CARR. #861 SECTOR LOS MILLONES, BAYAMÓN, P.R.","18.3634142506","-66.150326382","(18.363414, -66.150326)"
"3780","CUARTEL DE LA POLICÍA DE LEVITTOWN","TOA BAJA","BAYAMÓN","BARRIO SABANA SECA CALLE LUISA URB. LEVITTOWN TOA BAJA, P.R.","18.4478757682","-66.1808854779","(18.447876, -66.180885)"
"8949","ESCUELA PARQUE ECUESTRE","CAROLINA","CAROLINA","Calle Grovich #13, Urb. Parque Ecuestre, Carolina, P.R.                  ","18.3680814285","-65.9283885672","(18.368081, -65.928389)"
