"table_id","codigo","escuela","region","distrito","municipio_escolar","direccio_fisica","direccion_municipio","direccio_estado","direccion_zipcode","geolocalizacion","telefono","fax","director","zona","estatus_actual","nivel_original","grados_original","grados_posterior","matricula_total","grado_infant","grado_toddler","grado_pk","grado_pke","grado_pkm","grado_k","grado_1","grado_2","grado_3","grado_4","grado_5","grado_6","grado_sge","grado_7","grado_8","grado_9","grado_sgi","grado_10","grado_11","grado_12","grado_sgs","espa_ol_proficiente_avanzado","espa_ol_pre_b_sico","espa_ol_b_sico","espa_ol_proficiente","espa_ol_avanzado","matem_ticas_proficiente_avanzado","matem_ticas_pre_b_sico","matem_ticas_b_sico","matem_ticas_proficiente","matem_ticas_avanzado","ingl_s_proficiente_avanzado","ingl_s_pre_b_sico","ingl_s_b_sico","ingl_s_proficiente","ingl_s_avanzado","bajo_nivel_pobreza"
"690","62604","MANUEL A PEREZ","SAN JUAN","SAN JUAN II","SAN JUAN IV","CALLE ELIZONDO ESQ 46 RES MANUEL A PEREZ","SAN JUAN","PR","00930-0629","(18.41334, -66.03627)","751-2420","765-0510","MANUEL VIERA CASTRO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","372",,,,,,"44","47","46","41","43","43","28","34","36","10",,,,,,,"27.70","33.33","38.97","18.31","9.39","25.60","26.57","47.83","16.43","9.18","20.10","54.77","25.13","14.07","6.03","97.46"
"692","63107","MANUEL BOADA","SAN JUAN","SAN JUAN II","SAN JUAN IV","AVE BORINQUEN ESQ CALLE CORTIJO","SAN JUAN","PR","00916-0000","(18.4356, -66.05075)","726-0989","726-0988","DOLORES MARTINEZ NAVARRO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","226",,,,,,"34","42","37","27","38","37",,"11",,,,,,,,,"94.29","0.95","4.76","14.29","80","90.20","0","9.80","23.53","66.67","84.31","2.94","12.75","35.29","49.02","95.24"
"693","70870","MANUEL BOU GALI","BAYAMON","COROZAL","COROZAL","CARR 891 KM 13 HM 2","COROZAL","PR","00783-0000","(18.34263, -66.32008)","859-4656","859-4656","GLADYS MATOS PEREZ","URBANA","SI","INTERMEDIO","9-Jul","9-Jul","418",,,,,,,,,,,,"143",,"145","119",,"11",,,,,"32.28","21.60","46.12","21.12","11.17","1.94","42.72","55.34","1.94","0","24.03","40.29","35.68","17.23","6.80","75.60"
"695","21832","MANUEL CRUZ MACEIRA","CAGUAS","BARRANQUITAS","COMERIO","URB LA PLATA CALLE 6 BO PINAS ABAJO","COMERIO","PR","00782-0000","(18.21458, -66.22877)","875-5806","875-5806","MANUEL MORALES BERMUDEZ","URBANA","SI","ELEMENTAL","6-Jan","6-Jan","65",,,,,,,,,,,,,,,,"32",,"21","9","3",,"40","20","40","30","10","0","10","90","0","0","30","20","50","10","20","53.85"
"697","63024","MANUEL ELZABURU Y VIZCARRONDO","SAN JUAN","SAN JUAN II","SAN JUAN IV","CALLE MADISON RES LAS MARGARITAS","SAN JUAN","PR","00936-0000","(18.43286, -66.04019)","726-0125","728-2892","LUIS A MORALES","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","283",,,,,,,,,,,,"114",,"74","86",,"9",,,,,"18.80","41.88","39.32","14.53","4.27","0.43","57.69","41.88","0.43","0","5.13","71.37","23.50","4.27","0.85","93.26"
"698","51706","MANUEL F ERNANDEZ JUNCOS","PONCE","SANTA ISABEL","JUANA DIAZ","CARR 14 CALLE COMERIO","JUANA DIAZ","PR","00795-0000","(18.05249, -66.50271)","837-2243","837-2251","SIN INCUMBENTE","URBANA","SI","ELEMENTAL","PK - 3 , EEE","K - 3, PKEE, EEE","412",,,"16","7",,"69","106","94","98",,,,"22",,,,,,,,,"57.14","7.14","35.71","24.49","32.65","82.65","3.06","14.29","39.80","42.86","61.22","8.16","30.61","44.90","16.33","75.27"
"699","66498","MANUEL FEBRES GONZALEZ","SAN JUAN","CAROLINA","CAROLINA II","VIA #5, URB. VILLA FONTANA","CAROLINA","PR","00984-3809","(18.40091, -65.97608)","768-3031","768-3031","SOMARIE HERNANDEZ HERNANDEZ","URBANA","SI","INTERMEDIO","9-Jul","9-Jul","424",,,,,,,,,,,,"172",,"126","126",,,,,,,"30.52","18.07","51.41","20.88","9.64","0.81","40.73","58.47","0.40","0.40","22.67","42.91","34.41","14.57","8.10","78.07"
"700","47662","MANUEL GARCIA PEREZ (NUEVA)","MAYAGUEZ","AGUADILLA","RINCON","CALLE PEDRO ALBIZU CAMPOS INTERIOR","RINCON","PR","00677-0000","(18.33557, -67.24906)","823-0335","823-0336","TERESA CRESPO MARTINEZ","URBANA","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","473",,,,,,,,,,,,,,,,"115",,"118","108","124","8","28.30","22.64","49.06","21.70","6.60","0","41.51","58.49","0","0","34.91","31.13","33.96","16.04","18.87","82.93"
"701","42945","MANUEL GONZALEZ MELO","MAYAGUEZ","AGUADILLA","RINCON","CARR 115 KM 9 HM 0 BO CANVALACHE","RINCON","PR","00677-0000","(18.31354, -67.22667)","823-2395","823-2395","MANUEL PEREZ MEDINA","RURAL","SI","SEGUNDA UNIDAD","K - 9","K - 8, EEE","474",,,,,,"41","34","55","46","54","57","61","4","55","67",,,,,,,"36.88","16.35","46.77","21.67","15.21","15.59","28.14","56.27","12.17","3.42","35.77","23.85","40.38","22.69","13.08","86.34"
"702","56101","MANUEL GONZALEZ PATO","PONCE","PONCE","PONCE I","CALLE 9 URB LA RAMBLA","PONCE","PR","00731-0000","(18.0327, -66.60129)","841-7216","812-1440","WILBERTO BAEZ RODRIGUEZ","URBANA","SI","INTERMEDIO","9-Jul","9-Jul","483",,,,,,,,,,,,"134",,"185","164",,,,,,,"43.93","13.81","42.26","24.90","19.04","7.34","24.11","68.55","5.45","1.89","34.24","29.62","36.13","21.64","12.61","82.40"
"703","53009","MANUEL MARTIN MONSERRATE","PONCE","SANTA ISABEL","SANTA ISABEL","CALLE BALDORIOTY DE CASTRO #6","SANTA ISABEL","PR","00757-0000","(17.96654, -66.40544)","845-3160","845-6118","AIDA GISELA SANTIAGO AROCHO","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","359",,,,,,,,,,,,,,"102","123","116","18",,,,,"48.89","16.89","34.22","27.11","21.78","4.02","30.36","65.63","3.13","0.89","30.22","40.44","29.33","20","10.22","78.31"
"704","72082","MANUEL MARTINEZ DAVILA","ARECIBO","VEGA ALTA","VEGA BAJA","CARR 155 BO PUGNADO","VEGA BAJA","PR","00694-0000","(18.42951, -66.40829)","858-1152","858-3802","ABNER A. RESTO HERNANDEZ","RURAL","SI","SEGUNDA UNIDAD","K - 9 , EEE - EEI","K - 8, EEE, EEI","602",,,,,,"28","39","37","41","34","44","48","8","192","128",,"3",,,,,"35.02","23.35","41.63","21.15","13.88","9.07","31.19","59.73","6.64","2.43","29.56","38.22","32.22","18.67","10.89","85.59"
"705","47902","MANUEL MENDEZ LICIAGA","MAYAGUEZ","SAN SEBASTIAN","SAN SEBASTIAN","CARR 125 KM 19 BO GUATEMALA","SAN SEBASTIAN","PR","6851277","(18.34929, -67.00878)","896-1430","280-3285","LUISA FELICIANO AUDIFFRED","RURAL","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","883",,,,,,,,,,,,,,,,"85",,"259","269","224","46","45.52","14.18","40.30","20.90","24.63","26.97","14.23","58.80","16.10","10.86","41.35","26.69","31.95","21.43","19.92","78.39"
"709","71472","MANUEL VELILLA","BAYAMON","TOA BAJA","TOA ALTA","CARR 861 KM 5.9 BO PINAS","TOA ALTA","PR","00954-0000","(18.36956, -66.21746)","797-3558","797-3558","DILMA E. ORTIZ CARRERO","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","317",,,,,,"31","26","44","40","30","30","53","15","26","22",,,,,,,"41.46","16.10","42.44","21.95","19.51","26.34","23.41","50.24","12.20","14.15","55.39","11.76","32.84","26.47","28.92","84.14"
