"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1524","Nombramiento 1524","Otros","Ausente","1","Aprobada","Nombramiento 1524","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1494","Nombramiento 1494","Otros","Ausente","1","Aprobada","Nombramiento 1494","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1526","Nombramiento 1526","Otros","Ausente","1","Aprobada","Nombramiento 1526","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1527","Nombramiento 1527","Otros","Ausente","1","Aprobada","Nombramiento 1527","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1528","Nombramiento 1528","Otros","Ausente","1","Aprobada","Nombramiento 1528","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1529","Nombramiento 1529","Otros","Ausente","1","Aprobada","Nombramiento 1529","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1530","Nombramiento 1530","Otros","Ausente","1","Aprobada","Nombramiento 1530","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1531","Nombramiento 1531","Otros","Ausente","1","Aprobada","Nombramiento 1531","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1532","Nombramiento 1532","Otros","En contra","1","Derrotada","Nombramiento 1532","12-diciembre","2012","En contra","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1534","Nombramiento 1534","Otros","Ausente","1","Aprobada","Nombramiento 1534","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1535","Nombramiento 1535","Otros","Ausente","1","Aprobada","Nombramiento 1535","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","R. del S.","890","R. del S. 0890","Informe Final","Ausente","1","Aprobada","R. del S. 0890","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","R. del S.","1536","R. del S. 1536","Informe Final","Ausente","1","Aprobada","R. del S. 1536","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","R. C. de la C.","1591","R. C. de la C. 1591","Informe","Ausente","1","Aprobada","R. C. de la C. 1591","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-17T00:00:00.000","R. C. de la C.","1614","R. C. de la C. 1614","Informe","Ausente","1","Aprobada","R. C. de la C. 1614","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1523","Nombramiento 1523","Otros","Ausente","1","Aprobada","Nombramiento 1523","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1426","Nombramiento 1426","Otros","Ausente","1","Derrotada","Nombramiento 1426","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1451","Nombramiento 1451","Otros","Ausente","1","Aprobada","Nombramiento 1451","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","379","R. del S. 0379","Informe Final","Ausente","1","Aprobada","R. del S. 0379","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","425","R. del S. 0425","Informe Final","Ausente","1","Aprobada","R. del S. 0425","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","1099","R. del S. 1099","Informe Final","Ausente","1","Aprobada","R. del S. 1099","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","1638","R. del S. 1638","Informe Final","Ausente","1","Aprobada","R. del S. 1638","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","1791","R. del S. 1791","Informe Final","Ausente","1","Aprobada","R. del S. 1791","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","1870","R. del S. 1870","Informe Final","Ausente","1","Aprobada","R. del S. 1870","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","2374","R. del S. 2374","Informe Final","Ausente","1","Aprobada","R. del S. 2374","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. C. del S.","269","R. C. del S. 0269","Conc. Enmiendas","Ausente","1","Aprobada","R. C. del S. 0269","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. C. del S.","271","R. C. del S. 0271","Conc. Enmiendas","Ausente","1","Aprobada","R. C. del S. 0271","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. C. del S.","878","R. C. del S. 0878","Conc. Enmiendas","Ausente","1","Aprobada","R. C. del S. 0878","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","2847","R. del S. 2847","Medida","Ausente","1","Aprobada","R. del S. 2847","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1504","Nombramiento 1504","Segundo Inf.","Ausente","1","Aprobada","Nombramiento 1504","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
