"total","a_o_escolar","pueblo"
"902","2011-01-01T00:00:00.000","AÑASCO"
"928","2012-01-01T00:00:00.000","AÑASCO"
"1104","2014-01-01T00:00:00.000","AIBONITO"
"1098","2011-01-01T00:00:00.000","AIBONITO"
"1074","2012-01-01T00:00:00.000","AIBONITO"
"1100","2013-01-01T00:00:00.000","AIBONITO"
"1467","2011-01-01T00:00:00.000","AGUAS BUENAS"
"1713","2013-01-01T00:00:00.000","AGUAS BUENAS"
"1345","2012-01-01T00:00:00.000","AGUAS BUENAS"
"2181","2012-01-01T00:00:00.000","AGUADILLA"
"2007","2011-01-01T00:00:00.000","AGUADILLA"
"2563","2013-01-01T00:00:00.000","AGUADILLA"
"1849","2011-01-01T00:00:00.000","AGUADA"
"1883","2012-01-01T00:00:00.000","AGUADA"
"1940","2013-01-01T00:00:00.000","AGUADA"
"571","2013-01-01T00:00:00.000","ADJUNTAS"
"637","2011-01-01T00:00:00.000","ADJUNTAS"
"600","2012-01-01T00:00:00.000","ADJUNTAS"
