"station_code","station_name","y","x","elevation","coord_x_y","active"
"RQC00666982","PENUELAS SALTO GARZAS","18.0833","-66.7333","349.9","(18.0833, -66.7333)","No"
"RQC00666992","PICO DEL ESTE","18.2708","-65.7592","1051","(18.2708, -65.7592)","No"
"RQ1PRPC0001","PONCE 1.8 NE","18.0046","-66.5891","11.9","(18.0046, -66.5891)","No"
"RQ1PRPC0002","PONCE 3.2 NNE","18.0318","-66.5996","36.3","(18.0318, -66.5996)","Yes"
"RQ1PRPC0005","PONCE 3.5 N","18.0374","-66.6017","49.4","(18.0374, -66.6017)","Yes"
"RQC00667292","PONCE 4 E","18.0258","-66.5253","21.3","(18.0258, -66.5253)","Yes"
"RQ1PRPC0004","PONCE 5.0 NNW","18.0474","-66.6514","146.6","(18.0474, -66.6514)","Yes"
"RQC00667295","PONCE CITY","17.985","-66.6294","3","(17.985, -66.6294)","No"
"RQC00667297","PONCE MERCEDITA AP","18.0167","-66.5667","7.9","(18.0167, -66.5667)","No"
"RQW00011637","PONCE SANTA ISABEL","17.9667","-66.4","9.1","(17.9667, -66.4)","No"
"RQC00667348","POTALA","18.0167","-66.5167","14.9","(18.0167, -66.5167)","No"
"RQC00667492","PUERTO REAL","18.0789","-67.1769","10.1","(18.0789, -67.1769)","No"
"RQC00667843","QUEBRADILLAS","18.4719","-66.9358","113.4","(18.4719, -66.9358)","No"
"RQC00668126","RINCON","18.3375","-67.2497","3","(18.3375, -67.2497)","Yes"
"RQ1PRRN0005","RINCON 1.0 NNW","18.3543","-67.2594","73.8","(18.3543, -67.2594)","No"
"RQ1PRRN0003","RINCON 1.5 N","18.3627","-67.2497","64.3","(18.3627, -67.2497)","Yes"
"RQ1PRRN0004","RINCON 2.8 SE","18.3188","-67.2178","93.3","(18.3188, -67.2178)","Yes"
"RQC00668122","RINCON 2 NNW","18.3667","-67.25","91.1","(18.3667, -67.25)","No"
"RQ1PRRN0002","RINCON 3.1 SSE","18.2998","-67.2343","15.5","(18.2998, -67.2343)","Yes"
"RQ1PRRN0001","RINCON 3.4 SSE","18.2981","-67.2272","38.4","(18.2981, -67.2272)","No"
"RQC00668144","RIO BLANCO LOWER","18.2425","-65.785","34.1","(18.2425, -65.785)","Yes"
"RQC00668155","RIO BLANCO UPPER","18.2833","-65.7833","438.9","(18.2833, -65.7833)","No"
"RQC00668178","RIO CANAS","18.0333","-66.4667","57","(18.0333, -66.4667)","No"
"RQC00668245","RIO GRANDE EL VERDE","18.3333","-65.8167","182.9","(18.3333, -65.8167)","No"
"RQC00668278","RIO JUEYES","18.0167","-66.35","42.1","(18.0167, -66.35)","No"
"RQC00668301","RIO PIEDRAS","18.4","-66.0667","29.9","(18.4, -66.0667)","No"
"RQC00668306","RIO PIEDRAS EXP STN","18.3906","-66.0542","28","(18.3906, -66.0542)","Yes"
"RQW00011630","ROOSEVELT ROADS","18.255","-65.6408","10.1","(18.255, 65.6408)","Yes"
