"region","distrito","municipio_escolar","c_digo_escuela","nombre_escuela","matr_cula_m1","matr_cula_m1_entre_5_y_17_a_os_2013_2014","m1_entre_5_y_17_a_os_bajo_nivel_pobreza_2013_2014","bnp_2013_2014"
"PONCE","SANTA ISABEL","JUANA DIAZ","54817","ROSA MARIA ZAMBRANA","93","84","57","67.86"
"PONCE","PONCE","PONCE III","54866","DR. ALFREDO AGUAYO","130","130","126","96.92"
"PONCE","UTUADO","ADJUNTAS","54882","WASHINGTON IRVING","227","227","192","84.58"
"PONCE","SANTA ISABEL","JUANA DIAZ","54916","JOSE A. GONZALES","158","147","126","85.71"
"PONCE","PONCE","PONCE II","54940","ANDRES GRILLASCA","356","338","303","89.64"
"PONCE","PONCE","PONCE I","54957","PARCELAS REAL","82","82","67","81.71"
"PONCE","PONCE","PONCE II","54965","PARCELAS MARUENO","106","102","90","88.24"
"PONCE","YAUCO","YAUCO","55244","SUPERIOR OCUP. Y TECNICA DE YAUCO","750","729","507","69.55"
"PONCE","SANTA ISABEL","COAMO","55350","FLORENCIO SANTIAGO","465","465","307","66.02"
"PONCE","PONCE","PONCE III","55475","JULIO ALVARADO","412","402","361","89.80"
"PONCE","PONCE","PONCE II","55483","ANGELA CORDERO BERNARD","853","824","505","61.29"
"PONCE","SANTA ISABEL","JUANA DIAZ","55731","JUAN SERAPIO MANGUAL","289","271","211","77.86"
"PONCE","PONCE","PONCE I","55871","ANTONIO PAOLI","308","308","268","87.01"
"PONCE","SANTA ISABEL","JUANA DIAZ","55889","PEDRO ALBIZU CAMPOS","305","268","205","76.49"
"PONCE","PONCE","PONCE II","56069","BETHSAIDA VELAZQUEZ ANDUJAR","296","285","227","79.65"
"PONCE","SANTA ISABEL","VILLALBA","56077","NORMA I. TORRES COLON","245","245","196","80.00"
"PONCE","PONCE","PONCE II","56085","INTERMEDIA  SOR ISOLINA FERRE (VILLA DEL CARMEN)","420","415","325","78.31"
"PONCE","PONCE","PONCE I","56093","LLANOS DEL SUR","532","519","416","80.15"
"PONCE","PONCE","PONCE I","56101","MANUEL GONZALEZ PATO","527","527","455","86.34"
"PONCE","SANTA ISABEL","JUANA DIAZ","56119","CARMEN BELEN VEIGA","569","551","366","66.42"
"PONCE","SANTA ISABEL","COAMO","56226","JOSE FELIPE ZAYAS","729","708","496","70.06"
"PONCE","PONCE","PONCE I","56424","INTERMEDIA JARDINES DE PONCE","580","580","498","85.86"
