"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"298487","SAN JUAN","SANTURCE",,,,"SECT"," ",,"421",,"CALLE","BARTOLOME LAS CASAS",,"915","PR","240792","266930","18.4377","-66.0472","(18.4377, -66.0472)"
"298149","SAN JUAN","SANTURCE",,,,"SECT"," ",,"284",,"CALLE","DELBREY",,"912","PR","239264","267801","18.4456","-66.0616","(18.4456, -66.0616)"
"346658","SAN JUAN","SANTURCE",,,,"SECT"," ",,"214",,"CALLE","DEL PARQ",,"912","PR","239033","268080","18.4481","-66.0638","(18.4481, -66.0638)"
"346471","SAN JUAN","SANTURCE",,,,"SECT"," ",,"1073",,"AVE","FERNANDEZ JUNCOS",,"907","PR","237537","268329","18.4504","-66.078","(18.4504, -66.078)"
"346283","SAN JUAN","SANTURCE",,,,"SECT"," ",,"174",,"CALLE","POMARROSA",,"911","PR","239537","268137","18.4486","-66.059","(18.4486, -66.059)"
"346142","SAN JUAN","SANTURCE",,,,"SECT"," ",,"1074",,"CALLE","NUEVA PALMA",,"907","PR","237455","267852","18.446","-66.0788","(18.446, -66.0788)"
"343099","SAN JUAN","SANTURCE",,,,"SECT"," ",,"150",,"CALLE","POMARROSA",,"911","PR","239564","268269","18.4498","-66.0588","(18.4498, -66.0588)"
"112452","CAROLINA","PUEBLO",,,,"SECT"," ",,"55",,"CALLE","MUOZ RIVERA",,"985","PR","250364","260809","18.3821","-65.9567","(18.3821, -65.9567)"
"112440","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"132-40",,"AVE","CENTRAL BLVD",,"985","PR","249580","262882","18.4009","-65.9641","(18.4009, -65.9641)"
"112364","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"107-3",,"CALLE","100",,"985","PR","249656","262919","18.4012","-65.9634","(18.4012, -65.9634)"
