"fch_cerrado","region","oficina","familias"
"201306","SAN JUAN            ","GUAYNABO 1          ","46.0"
"201304","MAYAGÜEZ            ","LAJAS               ","45.0"
"201311","PONCE               ","PONCE 2             ","59.0"
"201306","AGUADILLA           ","LAS MARÍAS          ","26.0"
"201212","GUAYAMA             ","PATILLAS            ","24.0"
"201405","BAYAMON             ","VEGA BAJA 1         ","25.0"
"201302","ARECIBO             ","UTUADO 1            ","43.0"
"201401","HUMACAO             ","CEIBA               ","18.0"
"201401","HUMACAO             ","HUMACAO             ","65.0"
"201405","SAN JUAN            ","CUPEY               ","8.0"
"201406","ARECIBO             ","MANATI              ","42.0"
"201309","CAROLINA            ","LUQUILLO            ","32.0"
"201301","PONCE               ","VILLALBA            ","27.0"
"201408","MAYAGÜEZ            ","MARICAO             ","7.0"
"201403","SAN JUAN            ","RIO PIEDRAS 1       ","39.0"
"201308","BAYAMON             ","DORADO              ","36.0"
"201310","ARECIBO             ","FLORIDA             ","33.0"
"201210","PONCE               ","ADJUNTAS            ","36.0"
"201404","ARECIBO             ","FLORIDA             ","23.0"
"201301","HUMACAO             ","NAGUABO             ","23.0"
"201407","HUMACAO             ","YABUCOA             ","82.0"
"201404","ARECIBO             ","BARCELONETA         ","17.0"
"201311","PONCE               ","YAUCO               ","101.0"
"201401","PONCE               ","COAMO               ","51.0"
"201409","SAN JUAN            ","RIO PIEDRAS 3       ","41.0"
"201402","MAYAGÜEZ            ","AÑASCO              ","35.0"
"201302","GUAYAMA             ","SANTA ISABEL        ","39.0"
"201306","BAYAMON             ","NARANJITO           ","38.0"
"201305","ARECIBO             ","ARECIBO 3           ","45.0"
"201212","BAYAMON             ","VEGA BAJA 2         ","15.0"
"201407","BAYAMON             ","TOA BAJA 1          ","34.0"
"201211","PONCE               ","ADJUNTAS            ","26.0"
"201210","ARECIBO             ","CIALES              ","26.0"
"201406","PONCE               ","COAMO               ","58.0"
"201406","SAN JUAN            ","RIO PIEDRAS 2       ","45.0"
"201310","AGUADILLA           ","AGUADILLA 2         ","65.0"
"201210","PONCE               ","GUAYANILLA          ","55.0"
"201306","ARECIBO             ","BARCELONETA         ","33.0"
"201405","BAYAMON             ","BAYAMON 3           ","53.0"
"201402","PONCE               ","VILLALBA            ","47.0"
"201402","BAYAMON             ","VEGA ALTA           ","30.0"
"201212","AGUADILLA           ","SAN SEBASTÍAN       ","39.0"
"201402","CAROLINA            ","LUQUILLO            ","29.0"
"201408","ARECIBO             ","BARCELONETA         ","31.0"
"201408","MAYAGÜEZ            ","LAJAS               ","49.0"
"201406","SAN JUAN            ","RIO PIEDRAS 4       ","28.0"
"201303","CAGUAS              ","CIDRA               ","45.0"
"201212","PONCE               ","PONCE 2             ","49.0"
"201212","AGUADILLA           ","RINCÓN              ","14.0"
"201305","HUMACAO             ","JUNCOS              ","44.0"
"201408","ARECIBO             ","MANATI              ","61.0"
"201310","MAYAGÜEZ            ","SABANA GRANDE       ","46.0"
"201406","ARECIBO             ","BARCELONETA         ","21.0"
"201304","GUAYAMA             ","SANTA ISABEL        ","48.0"
"201311","ARECIBO             ","CIALES              ","41.0"
"201310","PONCE               ","OROCOVIS            ","64.0"
"201309","GUAYAMA             ","ARROYO              ","47.0"
"201301","SAN JUAN            ","GUAYNABO 1          ","22.0"
"201405","BAYAMON             ","COROZAL             ","44.0"
"201310","PONCE               ","AIBONITO            ","52.0"
"201408","SAN JUAN            ","SAN JUAN            ","69.0"
"201304","ARECIBO             ","CIALES              ","34.0"
"201409","CAROLINA            ","LUQUILLO            ","20.0"
"201407","HUMACAO             ","HUMACAO             ","67.0"
"201308","CAGUAS              ","CIDRA               ","63.0"
"201401","MAYAGÜEZ            ","AÑASCO              ","40.0"
"201409","CAGUAS              ","CIDRA               ","42.0"
"201303","HUMACAO             ","FAJARDO             ","53.0"
"201309","HUMACAO             ","MAUNABO             ","30.0"
